;POMO3;AURE3;BBAS3;ITUB3;IBOV;SELIC
Data;Fechamento;Fechamento;Fechamento;Fechamento;Fechamento;Fechamento
17/09/2025;8,23;11,06;21,87;34,3152584;145593,63;14,9
18/09/2025;8,41;10,77;22,1;34,15542023;145499,49;14,9
19/09/2025;8,11;10,7;21,62;34,51505612;145865,11;14,9
22/09/2025;8;10,57;21,51;34,09548091;145109,25;14,9
23/09/2025;8,08;10,64;22,13;34,50506624;146424,94;14,9
24/09/2025;8,12;10,63;22,11;34,41515726;146491,75;14,9
25/09/2025;7,78;10,4;21,79;34,1054708;145306,23;14,9
26/09/2025;7,69;10,37;22,11;34,23533931;145446,66;14,9
29/09/2025;7,59;10,32;22,12;34,42514715;146336,8;14,9
30/09/2025;7,51;10,27;22,09;34,61495498;146237,02;14,9
01/10/2025;7,26;10,08;21,93;33,95293766;145517,35;14,9
02/10/2025;7,38;10,09;21,76;33,62310342;143949,64;14,9
03/10/2025;7,59;10,37;21,58;33,86298287;144200,65;14,9
06/10/2025;7,54;10,42;21,41;33,48317373;143608,08;14,9
07/10/2025;7,38;10,14;21,21;32,85349017;141356,43;14,9
08/10/2025;7,3;10,37;21,12;33,02340478;142145,38;14,9
09/10/2025;7,22;10,73;21,19;33,07337967;141708,19;14,9
10/10/2025;7,21;10,65;20,61;33,05338971;140680,34;14,9
13/10/2025;7,31;10,74;20,88;33,29326917;141783,36;14,9
14/10/2025;7,19;10,46;20,7;33,2332993;141682,99;14,9
15/10/2025;7,21;10,55;20,32;33,13334953;142603,66;14,9
16/10/2025;7,3;10,76;20,37;33,17332944;142200,02;14,9
17/10/2025;7,21;10,93;20,9;33,29326917;143398,63;14,9
20/10/2025;7,34;10,8;20,77;33,75303812;144509,32;14,9
21/10/2025;7,55;11;20,54;33,61310844;144085,15;14,9
22/10/2025;7,33;11,42;20,69;33,90296278;144872,79;14,9
23/10/2025;7,5;11,65;20,65;34,01290753;145720,98;14,9
24/10/2025;7,51;11,45;20,52;33,95293766;146172,21;14,9
27/10/2025;7,56;11,77;20,85;34,25278698;146969,1;14,9
28/10/2025;7,61;11,05;20,96;34,37272671;147428,9;14,9
29/10/2025;7,55;10,72;21,22;35,16232991;148632,93;14,9
30/10/2025;7,62;10,63;21,63;35,05238516;148780,22;14,9
31/10/2025;6,82;10,99;21,9;35,12235;149540,43;14,9
03/11/2025;6,47;10,83;22,08;35,66;150454,24;14,9
04/11/2025;6,55;11,11;22,27;35,51;150704,2;14,9
05/11/2025;6,58;11,6;22,61;35,75;153294,44;14,9
06/11/2025;6,38;11,67;22,86;35,8;153338,63;14,9
07/11/2025;6,37;11,33;22,89;35,75;154063,53;14,9
10/11/2025;6,57;11,55;22,78;36,03;155257,31;14,9
11/11/2025;6,5;11,53;23,47;36,59;157748,6;14,9
12/11/2025;6,38;11,45;22,8;35,7;157632,9;14,9
13/11/2025;6,39;11,28;22,5;35,79;157162,43;14,9
14/11/2025;6,46;11,17;22,44;35,92;157738,69;14,9
17/11/2025;6,33;11,09;22,5;35,64;156992,93;14,9
